City,id,nametype,reclass,mass (g),Trip or Order Status,Request Time,Pickup Lat,Pickup Lng,Dropoff Lat,Dropoff Lng
Chicago,22590,Valid,Chicago,7.36,COMPLETED,2019-11-22 14:20:41 +0000 UTC,41.87242,-87.62436,41.93453,-87.66127
Chicago,15434,Valid,Chicago,7.29,COMPLETED,2019-11-22 03:46:28 +0000 UTC,41.93428,-87.66567,41.85761,-87.65764
Chicago,18110,Valid,Chicago,6.14,COMPLETED,2019-11-21 18:18:02 +0000 UTC,41.934327,-87.6657616,41.8805354,-87.6245254
Chicago,10951,Valid,Chicago,1.08,COMPLETED,2019-11-21 01:59:27 +0000 UTC,41.93278,-87.64551,41.93428,-87.66552
Chicago,23614,Valid,Chicago,1.39,COMPLETED,2019-11-20 23:40:39 +0000 UTC,41.93428,-87.6658,41.93282,-87.64366
Chicago,18799,Valid,Chicago,5.19,COMPLETED,2019-11-20 03:12:45 +0000 UTC,41.8843679,-87.6281204,41.9342917,-87.665629
Chicago,23513,Valid,Chicago,4.18,COMPLETED,2019-11-18 18:37:03 +0000 UTC,41.9007796,-87.6279134,41.9342796,-87.6656728
Chicago,14698,Valid,Chicago,0.4,COMPLETED,2019-11-18 00:41:35 +0000 UTC,41.93526,-87.66978,41.93426,-87.66604
Chicago,5179,Valid,Chicago,4.14,COMPLETED,2019-11-17 06:35:25 +0000 UTC,41.93426,-87.66604,41.90163,-87.62458
Chicago,11891,Valid,Chicago,4.39,COMPLETED,2019-11-16 21:46:00 +0000 UTC,41.93445,-87.665612,41.93445,-87.665612
Chicago,11892,Valid,Chicago,4.19,COMPLETED,2019-11-16 02:52:57 +0000 UTC,41.90402,-87.66744,41.94086,-87.71868
Chicago,15400,Valid,Chicago,0,CANCELED,2019-11-16 02:52:20 +0000 UTC,41.9050892,-87.6435095,41.9050536,-87.6442091
Chicago,18879,Valid,Chicago,2.12,COMPLETED,2019-11-16 00:55:57 +0000 UTC,41.93302,-87.66848,41.90249,-87.66755
Chicago,4938,Valid,Chicago,0,CANCELED,2019-11-16 00:51:13 +0000 UTC,41.93458302,-87.65397155,41.93285394,-87.65877142
Chicago,18099,Valid,Chicago,6.41,COMPLETED,2019-11-15 17:47:16 +0000 UTC,41.93431,-87.66558,41.88043,-87.62443
Chicago,5022,Valid,Chicago,0,DRIVER_CANCELED,2019-11-15 17:36:09 +0000 UTC,41.93087472,-87.66829846,41.9342,-87.66604
Chicago,10075,Valid,Chicago,0,CANCELED,2019-11-15 17:33:29 +0000 UTC,41.93141421,-87.69443073,41.91007776,-87.66460859
Chicago,24234,Valid,Chicago,1.52,COMPLETED,2019-11-15 04:14:38 +0000 UTC,41.881592,-87.626336,41.881592,-87.626336
Chicago,23785,Valid,Chicago,11.66,COMPLETED,2019-11-15 02:41:06 +0000 UTC,41.87823,-87.6242,41.93434,-87.66604
Chicago,15405,Valid,Chicago,0.72,COMPLETED,2019-11-13 17:41:17 +0000 UTC,41.93336,-87.66599,41.93266,-87.6541
Chicago,16920,Valid,Chicago,0,CANCELED,2019-11-13 17:33:09 +0000 UTC,41.93227676,-87.67684422,41.93229536,-87.67508583
Chicago,24056,Valid,Chicago,0.68,COMPLETED,2019-11-12 18:17:19 +0000 UTC,41.93336,-87.66599,41.93267,-87.65385
Chicago,11428,Valid,Chicago,0.78,COMPLETED,2019-11-10 19:20:36 +0000 UTC,41.9341185,-87.6660493,41.9326418,-87.6532136
Chicago,24271,Valid,Chicago,2.16,COMPLETED,2019-11-10 18:20:38 +0000 UTC,41.93445,-87.665612,41.93445,-87.665612
Chicago,5440,Valid,Chicago,3.41,COMPLETED,2019-11-10 01:10:57 +0000 UTC,41.9324357,-87.6657592,41.9095604,-87.6263543
Chicago,10932,Valid,Chicago,1.78,COMPLETED,2019-11-09 23:16:22 +0000 UTC,41.9472133,-87.663985,41.9343127,-87.6655917
Chicago,23687,Valid,Chicago,1.23,COMPLETED,2019-11-09 19:46:50 +0000 UTC,41.9342518,-87.66559,41.9498582,-87.6640549
Chicago,4922,Valid,Chicago,4.36,COMPLETED,2019-11-09 18:23:00 +0000 UTC,41.90086,-87.62375,41.93426,-87.66565
Chicago,12269,Valid,Chicago,3.84,COMPLETED,2019-11-09 02:58:40 +0000 UTC,41.93302,-87.6593,41.90125,-87.62426
Chicago,22768,Valid,Chicago,0.62,COMPLETED,2019-11-08 23:47:17 +0000 UTC,41.93445,-87.665612,41.93445,-87.665612
Chicago,11472,Valid,Chicago,6.24,COMPLETED,2019-11-07 14:32:47 +0000 UTC,41.9342901,-87.665718,41.8810414,-87.6261926
Chicago,22775,Valid,Chicago,7.32,COMPLETED,2019-11-04 22:58:46 +0000 UTC,41.88079,-87.62616,41.93426,-87.66563
Chicago,2291,Valid,Chicago,0.64,COMPLETED,2019-11-04 16:37:35 +0000 UTC,41.93528,-87.66979,41.93426,-87.66566
Chicago,10079,Valid,Chicago,0.81,COMPLETED,2019-11-03 02:01:47 +0000 UTC,41.9341,-87.66603,41.93547,-87.65394
Chicago,22611,Valid,Chicago,3.38,COMPLETED,2019-11-02 01:25:51 +0000 UTC,41.93237,-87.66605,41.90171,-87.6243
Chicago,5264,Valid,Chicago,0.59,COMPLETED,2019-10-31 04:50:42 +0000 UTC,41.93275,-87.65871,41.93428,-87.66565
Chicago,5284,Valid,Chicago,0.93,COMPLETED,2019-10-30 02:41:35 +0000 UTC,41.9436802,-87.6639596,41.9342602,-87.6655809
Chicago,14718,Valid,Chicago,1.2,COMPLETED,2019-10-29 13:39:46 +0000 UTC,41.9325,-87.66545,41.92532,-87.65289
